ip,asn,city,region,country,loc
8.139.73.53,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '8.139.0.0/17', 'type': 'business'}",Hangzhou,Zhejiang,CN,"30.2936,120.1614"
202.100.40.49,"{'asn': 'AS4134', 'name': 'CHINANET-BACKBONE', 'domain': 'chinatelecom.com.cn', 'route': '202.100.0.0/18', 'type': 'isp'}",Xi’an,Shaanxi,CN,"34.2583,108.9286"
61.174.62.82,"{'asn': 'AS4134', 'name': 'CHINANET-BACKBONE', 'domain': 'chinatelecom.com.cn', 'route': '61.174.0.0/15', 'type': 'isp'}",Hangzhou,Zhejiang,CN,"30.2936,120.1614"
122.114.78.252,"{'asn': 'AS4837', 'name': 'CHINA UNICOM China169 Backbone', 'domain': 'chinaunicom.cn', 'route': '122.114.0.0/16', 'type': 'isp'}",Zhengzhou,Henan,CN,"34.7578,113.6486"
43.243.130.210,"{'asn': 'AS133775', 'name': 'Xiamen', 'domain': 'chinatelecom.cn', 'route': '43.243.128.0/22', 'type': 'isp'}",Xiamen,Fujian,CN,"24.4798,118.0819"
211.152.61.162,"{'asn': 'AS4811', 'name': 'China Telecom (Group)', 'domain': 'chinatelecom.com.cn', 'route': '211.152.48.0/20', 'type': 'isp'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
122.114.15.18,"{'asn': 'AS4837', 'name': 'CHINA UNICOM China169 Backbone', 'domain': 'chinaunicom.cn', 'route': '122.114.0.0/16', 'type': 'isp'}",Zhengzhou,Henan,CN,"34.7578,113.6486"
27.151.29.65,"{'asn': 'AS133774', 'name': 'Fuzhou', 'domain': 'chinatelecom.cn', 'route': '27.151.0.0/19', 'type': 'isp'}",Xiamen,Fujian,CN,"24.4798,118.0819"
202.121.99.9,"{'asn': 'AS4538', 'name': 'China Education and Research Network Center', 'domain': 'cernet.edu.cn', 'route': '202.121.0.0/16', 'type': 'education'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
101.37.43.115,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '101.37.0.0/17', 'type': 'business'}",Hangzhou,Zhejiang,CN,"30.2936,120.1614"
103.40.235.250,"{'asn': 'AS138950', 'name': 'Jiangsu Wuxi International IDC network', 'domain': 'chinatelecom.cn', 'route': '103.40.232.0/22', 'type': 'isp'}",Nanjing,Jiangsu,CN,"32.0617,118.7778"
116.211.148.179,"{'asn': 'AS58563', 'name': 'CHINANET Hubei province network', 'domain': 'chinatelecom.cn', 'route': '116.211.144.0/21', 'type': 'isp'}",Wuhan,Hubei,CN,"30.5833,114.2667"
61.160.233.81,"{'asn': 'AS4134', 'name': 'CHINANET-BACKBONE', 'domain': 'chinatelecom.com.cn', 'route': '61.160.0.0/16', 'type': 'isp'}",Nanjing,Jiangsu,CN,"32.0617,118.7778"
58.53.128.158,"{'asn': 'AS4134', 'name': 'CHINANET-BACKBONE', 'domain': 'chinatelecom.com.cn', 'route': '58.48.0.0/13', 'type': 'isp'}",Wuhan,Hubei,CN,"30.5833,114.2667"
223.72.140.206,"{'asn': 'AS56048', 'name': 'China Mobile Communicaitons Corporation', 'domain': 'chinamobile.com', 'route': '223.72.128.0/17', 'type': 'isp'}",Beijing,Beijing,CN,"39.9075,116.3972"
8.146.244.250,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '8.146.0.0/15', 'type': 'business'}",Beijing,Beijing,CN,"39.9075,116.3972"
222.186.57.37,"{'asn': 'AS4134', 'name': 'CHINANET-BACKBONE', 'domain': 'chinatelecom.com.cn', 'route': '222.184.0.0/13', 'type': 'isp'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
221.6.68.92,"{'asn': 'AS4837', 'name': 'CHINA UNICOM China169 Backbone', 'domain': 'chinaunicom.cn', 'route': '221.6.0.0/16', 'type': 'isp'}",Ningbo,Zhejiang,CN,"29.8782,121.5494"
187.249.19.86,"{'asn': 'AS32098', 'name': 'Transtelco Inc', 'domain': 'transtelco.net', 'route': '187.249.19.0/24', 'type': 'isp'}",Santiago de Querétaro,Querétaro,MX,"20.5881,-100.3881"
112.124.157.214,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '112.124.0.0/14', 'type': 'business'}",Hangzhou,Zhejiang,CN,"30.2936,120.1614"
121.12.80.64,"{'asn': 'AS4134', 'name': 'CHINANET-BACKBONE', 'domain': 'chinatelecom.com.cn', 'route': '121.8.0.0/13', 'type': 'isp'}",Shenzhen,Guangdong,CN,"22.5455,114.0683"
115.155.186.9,"{'asn': 'AS4538', 'name': 'China Education and Research Network Center', 'domain': 'cernet.edu.cn', 'route': '115.155.176.0/20', 'type': 'education'}",Haidian,Beijing,CN,"39.9906,116.2887"
103.45.108.91,"{'asn': 'AS63612', 'name': 'Shenzhen Qianhai bird cloud computing Co. Ltd.', 'domain': 'cnnic.cn', 'route': '103.45.108.0/24', 'type': 'hosting'}",Zhangjiakou,Hebei,CN,"40.7834,114.8714"
8.139.52.182,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '8.139.0.0/17', 'type': 'business'}",Hangzhou,Zhejiang,CN,"30.2936,120.1614"
210.16.191.84,"{'asn': 'AS4811', 'name': 'China Telecom (Group)', 'domain': 'chinatelecom.com.cn', 'route': '210.16.190.0/23', 'type': 'isp'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
222.77.185.28,"{'asn': 'AS133774', 'name': 'Fuzhou', 'domain': 'chinatelecom.cn', 'route': '222.77.185.0/24', 'type': 'isp'}",Xiamen,Fujian,CN,"24.4798,118.0819"
101.202.19.214,"{'asn': 'AS17878', 'name': 'DREAMMARK1', 'domain': 'dream-mark1.co.kr', 'route': '101.202.0.0/16', 'type': 'isp'}",Seoul,Seoul,KR,"37.5660,126.9784"
113.113.81.153,"{'asn': 'AS4134', 'name': 'CHINANET-BACKBONE', 'domain': 'chinatelecom.com.cn', 'route': '113.112.0.0/13', 'type': 'isp'}",Shenzhen,Guangdong,CN,"22.5455,114.0683"
125.64.43.24,"{'asn': 'AS38283', 'name': 'CHINANET SiChuan Telecom Internet Data Center', 'domain': 'chinatelecom.cn', 'route': '125.64.43.0/24', 'type': 'hosting'}",Chengdu,Sichuan,CN,"30.6667,104.0667"
43.243.130.117,"{'asn': 'AS133775', 'name': 'Xiamen', 'domain': 'chinatelecom.cn', 'route': '43.243.128.0/22', 'type': 'isp'}",Xiamen,Fujian,CN,"24.4798,118.0819"
211.152.41.9,"{'asn': 'AS4811', 'name': 'China Telecom (Group)', 'domain': 'chinatelecom.com.cn', 'route': '211.152.40.0/21', 'type': 'isp'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
181.204.154.140,"{'asn': 'AS27831', 'name': 'Colombia Móvil', 'domain': 'tigo.com.co', 'route': '181.204.0.0/14', 'type': 'isp'}",Bogotá,Bogota D.C.,CO,"4.6097,-74.0817"
94.32.119.23,"{'asn': 'AS8612', 'name': 'Tiscali Italia S.P.A.', 'domain': 'tiscali.it', 'route': '94.32.0.0/14', 'type': 'isp'}",Rome,Lazio,IT,"41.8919,12.5113"
172.64.37.183,"{'asn': 'AS13335', 'name': 'Cloudflare, Inc.', 'domain': 'cloudflare.com', 'route': '172.64.36.0/23', 'type': 'hosting'}",San Francisco,California,US,"37.7621,-122.3971"
112.29.170.79,"{'asn': 'AS9808', 'name': 'China Mobile Communications Group Co., Ltd.', 'domain': '10086.cn', 'route': '112.29.128.0/17', 'type': 'isp'}",Nanjing,Jiangsu,CN,"32.0617,118.7778"
103.124.230.212,"{'asn': 'AS17995', 'name': 'PT iForte Global Internet', 'domain': 'iforte.co.id', 'route': '103.124.230.0/23', 'type': 'isp'}",Jakarta,Jakarta,ID,"-6.2146,106.8451"
103.45.99.62,"{'asn': 'AS63612', 'name': 'Shenzhen Qianhai bird cloud computing Co. Ltd.', 'domain': 'cnnic.cn', 'route': '103.45.99.0/24', 'type': 'hosting'}",Zhangjiakou,Hebei,CN,"40.7834,114.8714"
76.76.10.140,"{'asn': 'AS398962', 'name': 'CONTROLD INC.', 'domain': 'controld.com', 'route': '76.76.10.0/24', 'type': 'isp'}",Toronto,Ontario,CA,"43.6404,-79.3995"
47.102.225.110,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '47.102.0.0/15', 'type': 'business'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
103.45.114.111,"{'asn': 'AS63612', 'name': 'Shenzhen Qianhai bird cloud computing Co. Ltd.', 'domain': 'cnnic.cn', 'route': '103.45.114.0/24', 'type': 'hosting'}",Zhangjiakou,Hebei,CN,"40.7834,114.8714"
47.113.22.183,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '47.113.0.0/16', 'type': 'business'}",Shenzhen,Guangdong,CN,"22.5455,114.0683"
202.101.164.111,"{'asn': 'AS4134', 'name': 'CHINANET-BACKBONE', 'domain': 'chinatelecom.com.cn', 'route': '202.101.160.0/19', 'type': 'isp'}",Hangzhou,Zhejiang,CN,"30.2936,120.1614"
45.125.56.172,"{'asn': 'AS139007', 'name': 'UNICOM InnerMongolia province network', 'domain': 'hh.nm.cn', 'route': '45.125.56.0/24', 'type': 'isp'}",Beijing,Beijing,CN,"39.9075,116.3972"
185.228.170.20,"{'asn': 'AS205157', 'name': 'Daniel Cid', 'domain': 'danielselectric.com', 'route': '185.228.170.0/24', 'type': 'business'}",Temecula,California,US,"33.4936,-117.1484"
223.5.179.99,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '223.4.0.0/15', 'type': 'business'}",Hangzhou,Zhejiang,CN,"30.2936,120.1614"
8.139.51.144,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '8.139.0.0/17', 'type': 'business'}",Hangzhou,Zhejiang,CN,"30.2936,120.1614"
118.112.17.249,"{'asn': 'AS38283', 'name': 'CHINANET SiChuan Telecom Internet Data Center', 'domain': 'chinatelecom.cn', 'route': '118.112.17.0/24', 'type': 'hosting'}",Chengdu,Sichuan,CN,"30.6667,104.0667"
211.152.48.126,"{'asn': 'AS4811', 'name': 'China Telecom (Group)', 'domain': 'chinatelecom.com.cn', 'route': '211.152.48.0/20', 'type': 'isp'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
130.185.78.153,"{'asn': 'AS60631', 'name': 'Pars Parva System LLC', 'domain': 'parspack.com', 'route': '130.185.78.0/24', 'type': 'hosting'}",Shiraz,Fars,IR,"29.6103,52.5311"
211.155.24.140,"{'asn': 'AS134773', 'name': 'CHINANET Guangdong province Guangzhou MAN network', 'domain': 'chinatelecom.cn', 'route': '211.155.24.0/21', 'type': 'gov'}",Guangzhou,Guangdong,CN,"23.1167,113.2500"
112.253.11.24,"{'asn': 'AS4837', 'name': 'CHINA UNICOM China169 Backbone', 'domain': 'chinaunicom.cn', 'route': '112.224.0.0/11', 'type': 'isp'}",Qingdao,Shandong,CN,"36.0649,120.3804"
212.93.108.61,"{'asn': 'AS24921', 'name': 'Latvijas Mobilais Telefons SIA', 'domain': 'lmt.lv', 'route': '212.93.108.0/23', 'type': 'isp'}",Riga,Riga,LV,"56.9460,24.1059"
119.37.2.242,"{'asn': 'AS4811', 'name': 'China Telecom (Group)', 'domain': 'chinatelecom.com.cn', 'route': '119.37.2.0/24', 'type': 'isp'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
