Provider,Count
"MSFT,MSFT,MSFT-SV3-TEST,MSFT",1
"TUCOW-BLK01,TUCOWS-BLK2",1
"UK-OPALNET-20000413,TTT-NEC-SLB,UK-OPALNET-20000413",1
"SYSEDATA-NET,SYSEDATACOLO-NET,SYSEHOSTING-NET,LINODE-UK",1
"ES-PRISCO-NOC-A,ES-PRISCO-NOC-A",1
"HURRICANE-1,HURRICANE-1,HURRICANE-1,HURRICANE-6,HTTP lookup failed for http://rdap.arin.net/registry/ip/216.66.80.18.",1
,1
"HTTP lookup failed for http://rdap.arin.net/registry/ip/173.245.59.147.,HTTP lookup failed for http://rdap.arin.net/registry/ip/172.64.32.146.",1
"NET-68-232-191-0-24,NET-68-232-191-0-24",1
"FH-RPL-NET,MANITU-NET-1,MANITU-NET-1,MANITU-NET-1,NETCUP-NETWORK-202-61-224-0-20,FH-RPL-NET",1
"CLOUDFLARENET,CLOUDFLARENET",1
"CONVERGE_ICT_SOLUTION_INC,CONVERGE_ICT_SOLUTION_INC",1
"CLOUDFLARENET,CLOUDFLARENET",1
"NO-DOMENESHOP,NICat-NET,NO-DOMENESHOP",1
"IDSTRATEGY-VM,IDSTRATEGY-VM,CLIENTS_DC_EU",1
"IR-ASIATECH-NET,IR-ASIATECH-NET",1
"NAZWAPL-ANYCAST,NAZWAPL-ANYCAST,NAZWAPL-ANYCAST",1
"CLOUDFLARENET,CLOUDFLARENET,CLOUDFLARENET",1
"CHTR-HSA-1BLK,CHTR-HSA-1BLK,CHTR-HSA-2BLK,CHTR-HSA-2BLK",1
"NSONE-DNS,NSONE-DNS,NSONE-DNS,NSONE-DNS",1
"CHINANET-GX,CHINANET-GX",1
"CDN77-ANYCAST,CDN77-ANYCAST",1
"MCI-CBLK,MCI-CBLK,NETBLK-UUNETCBLK4,UUNET-EURO-SERVER1,UUNET-EURO-SERVER1,NETBLK-UUNETCBLK4,NETBLK-UUNETCBLK4",1
"KDDI-NET,KDDI-NET,AMAZON-2011L,AMAZON-NRT",1
"NSONE-DNS,NSONE-DNS,NSONE-DNS,NSONE-DNS",1
"DTAG-SERVICE-DNS-SECONDARY,DTAG-BB1",1
"HTTP lookup failed for http://rdap.lacnic.net/rdap/ip/200.169.122.145 with error code 403.,HTTP lookup failed for http://rdap.lacnic.net/rdap/ip/201.6.1.7 with error code 403.,HTTP lookup failed for http://rdap.lacnic.net/rdap/ip/200.255.122.166 with error code 403.,HTTP lookup failed for http://rdap.lacnic.net/rdap/ip/200.169.123.38 with error code 403.",1
"CLOUDFLARENET,CLOUDFLARENET",1
"CLOUDFLARENET,CLOUDFLARENET",1
"AKAMAI-PI-1,AKAMAI-PA,AKAMAI,AKAMAI,AKAMAI-ARIN-1,AKAMAI",1
"INTERNETX-INTERN-ADNS2-NET1,IONOSTECH-NET",1
"SSL-1134,SSL-1134,SSL-1134,SSL-1134,SECURITYSERVICES,SSL-1134,SSL-1134,SSL-1134",1
"CLOUDFLARENET,CLOUDFLARENET",1
"The DNS query name does not exist: isgbns3.,MAXISNET,MAXISNET,AMAZON-ASIA-SIN2,AT-88-Z",1
"216.230.128.0 - 216.230.159.255,216.230.128.0 - 216.230.159.255,168.234.0.0 - 168.234.255.255,168.234.0.0 - 168.234.255.255",1
"BORANET-KR,BORANET-KR",1
"TELENET,TELENET",1
"CLOUDFLARENET,CLOUDFLARENET",1
"CLOUDFLARENET,CLOUDFLARENET",1
"MASTER1-2-2,MASTER1-2-2,PODA-STATIC-ID1389429504-NET",1
IPv4 address 172.30.30.160 is already defined as Private-Use Networks via RFC 1918.,1
"ClouDNS,ClouDNS,ClouDNS",1
"200.40.0.0 - 200.40.127.255,200.40.0.0 - 200.40.127.255",1
"SYR-UNIV-NET,SYR-UNIV-NET,SYR-UNIV-NET,SYR-UNIV-NET,SYR-UNIV-NET,SYR-UNIV-NET,SYR-UNIV-NET",1
"187.190.0.0 - 187.190.255.255,187.190.0.0 - 187.190.255.255,187.190.0.0 - 187.190.255.255",1
"AKAMAI-PI-1,AKAMAI-PA,AKAMAI-PA,AKAMAI-PA,TZODNS-1,TZODNS-1,TZODNS-1,TZODNS-1",1
"COGENT-NB-0000,COGENT-NB-0000,COGENT-FR-CGNT,CGNT-ES-BACKBONE,CU-NET,LSE",1
