Domain,Name Server,Count
ncts.com.eg,"cache.afmic.gov.eg.,dns1.afmic.gov.eg.,dns2.afmic.gov.eg.,dns3.afmic.gov.eg.,dns4.afmic.gov.eg.,dns5.afmic.gov.eg.",1
kt.com,"name.kt.co.kr.,name2.kt.co.kr.,name3.kt.co.kr.",14
master.cz,"ns1.master.cz.,ns2.master.cz.,ns3.master.cz.",1
yota.com.ni,"henry.ns.cloudflare.com.,zita.ns.cloudflare.com.",1
vyvebroadband.com,"ns1.hover.com.,ns2.hover.com.",1
antidot.ua,"anirban.ns.cloudflare.com.,maria.ns.cloudflare.com.",1
telenet.be,"ns.telenet-ops.be.,ns2.telenet-ops.be.",1
lguplus.co.kr,"ns.lguplus.co.kr.,nsdr.lguplus.co.kr.",1
claro.com.gt,"ns.comtech.net.gt.,ns.telgua.com.gt.,ns1.claro.com.gt.,ns1.claro.com.pa.",1
binawan.ac.id,"bailey.ns.cloudflare.com.,lou.ns.cloudflare.com.",2
maxis.com.my,"isgbns3.,ns3.maxis.com.my.,ns4.maxis.com.my.,ns8.maxis.com.my.,ns9.maxis.com.my.",1
bgctv.com.cn,"ns1.alidns.com.,ns2.alidns.com.",4
sbu.ac.ir,"ns1.sbu.ac.ir.,ns2.sbu.ac.ir.",4
adguard.com,"kim.ns.cloudflare.com.,todd.ns.cloudflare.com.",1
amazon.com,"ns1.amzndns.co.uk.,ns1.amzndns.com.,ns1.amzndns.net.,ns1.amzndns.org.,ns2.amzndns.co.uk.,ns2.amzndns.com.,ns2.amzndns.net.,ns2.amzndns.org.",1
ip-projects.de,"ns3.ip-projects.de.,ns4.ip-projects.de.",1
megacable.com.mx,"a1-223.akam.net.,a11-64.akam.net.,a16-65.akam.net.,a26-65.akam.net.,a4-64.akam.net.,a9-65.akam.net.",1
fibrlink.com,"ns.fibrlink.net.,ns2.fibrlink.net.",2
contabo.com,"ben.ns.cloudflare.com.,sue.ns.cloudflare.com.",1
dadepardazimobin.com,"alex.ns.cloudflare.com.,veda.ns.cloudflare.com.",1
netactuate.com,"brad.ns.cloudflare.com.,nora.ns.cloudflare.com.",2
china-entercom.net,"dns1.cibonet.com.,dns2.cibonet.com.",5
telekom3.de,"ns1.telekom.net.,pns.dtag.de.",1
talktalkplc.com,"ds0.opaltelecom.net.,ds1.opaltelecom.net.,ds2.opaltelecom.net.",1
polinpdg.ac.id,"giancarlo.ns.cloudflare.com.,leia.ns.cloudflare.com.",1
accelecom.net,"ns1-09.azure-dns.com.,ns2-09.azure-dns.net.,ns3-09.azure-dns.org.,ns4-09.azure-dns.info.",1
asiatech.ir,"ns1.asiatech.ir.,ns2.asiatech.ir.",1
telmex.com,"ns10.telmex.com.,ns11.telmex.com.,ns8.telmex.com.,ns9.telmex.com.",1
skbroadband.com,"ns.hananet.net.,ns2.hananet.net.",10
meo.pt,"coltrane.telepac.pt.,ns2.telepac.pt.,ns3.telepac.pt.,ns4.telepac.pt.",1
so-net.net.tw,"ns-cloud-e1.googledomains.com.,ns-cloud-e2.googledomains.com.,rns1.so-net.net.tw.,rns2.so-net.net.tw.",1
excitel.com,"alla.ns.cloudflare.com.,will.ns.cloudflare.com.",10
cogeco.com,"ns1.cgocable.net.,ns2.cgocable.net.,ns3.cgocable.ca.,ns4.cgocable.ca.",1
echosp.co.za,"ns.dns1.co.za.,ns.dns2.co.za.,ns.otherdns.com.,ns.otherdns.net.",1
baidu.com,"dns.baidu.com.,ns2.baidu.com.,ns3.baidu.com.,ns4.baidu.com.,ns7.baidu.com.",1
linesystems.com,"ns1.buckeyecom.net.,ns2.buckeyecom.net.,ns3.buckeyecom.net.",1
opendns.com,"auth1.opendns.com.,auth2.opendns.com.,auth3.opendns.com.",1
respina.net,"ns01.respina.net.,ns02.respina.net.",2
swisscom.ch,"dns1.swisscom.com.,dns2.swisscom.com.,dns3.swisscom.com.",1
patrikweb.net,"ns1.patrikweb.com.,ns2.patrikweb.com.",1
sunrise.ch,"ns1.sunrise.ch.,ns2.sunrise.ch.,ns3.sunrise.ch.,ns4.sunrise.ch.",1
nitco.com,"ns1.netnitco.net.,ns2.netnitco.net.,ns3.netnitco.net.",1
vee.com.tw,"ns1.emax.net.tw.,ns2.emax.net.tw.,ns3.emax.net.tw.",1
bitel.de,"ns01.bitel.net.,ns02.bitel.net.,ns03.bitel.net.",1
comcast.com,"dns101.comcast.net.,dns102.comcast.net.,dns103.comcast.net.,dns104.comcast.net.,dns105.comcast.net.",1
fanavaidc.com,"ns1.fanavaidc.com.,ns2.fanavaidc.com.",1
homeplus.net.tw,"58.86.33.10.,58.86.34.10.,celtics.homeplus.net.tw.,celtics2.homeplus.net.tw.,clippers.homeplus.net.tw.,lakers.homeplus.net.tw.,lakers2.cns.net.tw.",1
transtelco.net,"ns00.transtelco.net.,ns01.transtelco.net.,ns02.transtelco.net.,ns03.transtelco.net.,ns04.transtelco.net.",10
globalconnect.se,"ns1.eurodns.com.,ns2.eurodns.com.,ns3.eurodns.com.,ns4.eurodns.com.",1
bredband2.com,"lee.ns.cloudflare.com.,olga.ns.cloudflare.com.",1
aminidc.com,"ns1.aminidc.com.,ns2.aminidc.com.,ns3.aminidc.com.,ns4.aminidc.com.",1
hgc-intl.com,"dnshost1.on-nets.com.,dnshost2.on-nets.com.",1
prtcnet.com,"NS2.prtcom.com.,ns1.prtcom.com.",1
vodafone.it,"ns1.vodafone.com.,ns3.vodafone.com.,ns5.vodafone.com.",1
simbafiber.co.zm,"ns1.jcpbusiness.com.,ns2.jcpbusiness.com.",1
homesc.com,"ns-1206.awsdns-22.org.,ns-144.awsdns-18.com.,ns-1975.awsdns-54.co.uk.,ns-670.awsdns-19.net.",1
moratelindo.co.id,"ns1.cepat.net.id.,ns3.cepat.net.id.,ns4.cepat.net.id.",1
lumen.com,"authns1.qwest.net.,authns2.qwest.net.",1
tm.com.my,"ns1.a0.impervasecuredns.net.,ns1.a1.impervasecuredns.net.",1
vtal.com,"ns03.vtal.com.br.,ns04.vtal.com.br.",1
cei.gov.cn,"ns1.cei.cn.,ns2.cei.cn.",4
monsternett.no,"ns1.monsternett.no.,ns2.monsternett.no.",1
topmso.com.tw,"ns1.topmso.com.tw.,ns2.topmso.com.tw.",1
free.fr,"freens1-g20.free.fr.,freens2-g20.free.fr.,freens3-scw.free.fr.",1
ais.co.th,"master01.csloxinfo.com.,master02.csloxinfo.com.,ns1.ais.co.th.,ns2.ais.co.th.",1
lumenet.com.mx,"ns1.lumenet-comunicaciones.com.,ns3.lumenet-comunicaciones.com.",1
jcntv.co.kr,"ns-1413.awsdns-48.org.,ns-1658.awsdns-15.co.uk.,ns-435.awsdns-54.com.,ns-873.awsdns-45.net.",1
stratusiq.com,"ns1.stratusiq.com.,ns2.stratusiq.com.",1
svcpl.net.in,"ns53.domaincontrol.com.,ns54.domaincontrol.com.",1
columbia.edu,"auth1.dns.cogentco.com.,auth2.dns.cogentco.com.,auth4.dns.cogentco.com.,auth5.dns.cogentco.com.,ext-ns1.columbia.edu.,ns1.lse.ac.uk.",1
