Domain,Name Server
fly.io,"ns1.fly.io.,ns2.fly.io.,ns3.fly.io.,ns4.fly.io.,ns5.fly.io.,ns6.fly.io."
emirates.net.ae,"ns1.etisalatdomains.ae.,ns2.etisalatdomains.ae.,ns3.etisalatdomains.ae.,ns4.etisalatdomains.ae."
tci.ir,ns1.tci.ir.
telmex.com,"ns10.telmex.com.,ns11.telmex.com.,ns8.telmex.com.,ns9.telmex.com."
online.com.kh,"dns1.online.com.kh.,dns2.online.com.kh.,dns3.online.com.kh.,dns4.online.com.kh.,dns5.online.com.kh."
verizonbusiness.com,"auth-ns1.verizonbusiness.com.,auth-ns2.verizonbusiness.com.,auth01.ns.uu.net.,auth200.ns.uu.net.,auth210.ns.uu.net.,auth50.ns.uu.net.,auth61.ns.uu.net."
nutanix.com,"ns-109.awsdns-13.com.,ns-1511.awsdns-60.org.,ns-1902.awsdns-45.co.uk.,ns-742.awsdns-28.net."
amazon.com,"ns1.amzndns.co.uk.,ns1.amzndns.com.,ns1.amzndns.net.,ns1.amzndns.org.,ns2.amzndns.co.uk.,ns2.amzndns.com.,ns2.amzndns.net.,ns2.amzndns.org."
linzag-telekom.at,"a0.ns.lagis.at.,a1.ns.lagis.at.,a2.ns.lagis.at.,a3.ns.lagis.at."
bredband2.com,"lee.ns.cloudflare.com.,olga.ns.cloudflare.com."
parsvds.net,"chloe.ns.cloudflare.com.,chris.ns.cloudflare.com."
omc.co.il,"ns.omc.co.il.,ns1.omc.co.il.,ns2.omc.co.il."
cdn77.com,"ns1.cdn77.com.,ns2.cdn77.com."
hetzner.de,"ns.second-ns.com.,ns1.your-server.de.,ns3.second-ns.de."
netactuate.com,"brad.ns.cloudflare.com.,nora.ns.cloudflare.com."
hinet.net,"ans1.hinet.net.,ans2.hinet.net.,ans3.hinet.tw."
hkbn.net,"a1-138.akam.net.,a11-66.akam.net.,a2-66.akam.net.,a24-67.akam.net.,a26-64.akam.net.,a5-66.akam.net."
bt.com,"DYDNS0.bt.com.,DYDNS1.bt.com.,EDDNS0.bt.com.,EDDNS1.bt.com."
algerietelecom.dz,"dns-1.djaweb.dz.,dns-2.djaweb.dz.,dns-3.djaweb.dz.,dns-4.djaweb.dz.,dns-5.djaweb.dz.,dns-6.djaweb.dz."
globe.com.ph,"dns1.globenet.com.ph.,g-net.globe.com.ph.,g-net1.globe.com.ph.,sec.globe.com.ph."
brilliantel.co.za,brilliantel.esvacloud.com.
eth-services.de,"cinco.eth-services.de.,cuatro.eth-services.de.,dos.eth-services.de.,tres.eth-services.de.,uno.eth-services.de."
ucloud.cn,"ns3.dnsv5.com.,ns4.dnsv5.com."
startelecom.ca,"ns-1411.awsdns-48.org.,ns-142.awsdns-17.com.,ns-1865.awsdns-41.co.uk.,ns-865.awsdns-44.net."
bahnhof.se,"ns.bahnhof.net.,ns2.bahnhof.net."
sbu.ac.ir,"ns1.sbu.ac.ir.,ns2.sbu.ac.ir."
ctm.net,"ns3.macau.ctm.net.,vassun1.macau.ctm.net.,vassun2.macau.ctm.net."
respina.net,"ns01.respina.net.,ns02.respina.net."
oracle.com,"a1-160.akam.net.,a11-66.akam.net.,a13-65.akam.net.,a18-67.akam.net.,ns1.p201.dns.oraclecloud.net.,ns2.p201.dns.oraclecloud.net.,ns3.p201.dns.oraclecloud.net.,ns4.p201.dns.oraclecloud.net."
alestra.com.mx,"dns.alestra.net.mx.,mail1.alestra.net.mx.,mail2.alestra.net.mx."
vtal.com,"ns03.vtal.com.br.,ns04.vtal.com.br."
egate.net,"auth-iad.dns.egate.net.,ns2.dm.egate.net."
biglobe.co.jp,"ns02.mesh.ad.jp.,ns03.mesh.ad.jp."
unram.ac.id,"eva.ns.cloudflare.com.,jay.ns.cloudflare.com."
gibir.net.tr,"hal.ns.cloudflare.com.,kiki.ns.cloudflare.com."
intersat.ae,"pdns03.domaincontrol.com.,pdns04.domaincontrol.com."
claro.com.pe,"dns1.amx.com.pe.,dns2.amx.com.pe."
voxtelecom.co.za,"ns1.voxdns.co.za.,ns2.voxdns.co.za."
hornet.pl,"ns1.hornet.pl.,ns2.hornet.pl."
gghnet.com,"cody.ns.cloudflare.com.,kay.ns.cloudflare.com."
orange.com,"dns1.comlaude-dns.com.,dns2.comlaude-dns.net.,dns3.comlaude-dns.co.uk.,dns4.comlaude-dns.eu."
cira.ca,"a1-229.akam.net.,a10-65.akam.net.,ns1.d-zone.ca.,ns2.d-zone.ca."
veesp.com,"fiona.ns.cloudflare.com.,jeremy.ns.cloudflare.com."
charter.com,"ns1.charter.com.,ns2.charter.com.,ns3.charter.com.,ns4.charter.com."
tda.dz,"ns1.tda.dz.,ns2.tda.dz."
nrp.co,"ns1.nrp.co.,ns2.nrp.co.,ns3.nrp.co."
lguplus.co.kr,"ns.lguplus.co.kr.,nsdr.lguplus.co.kr."
superonline.net,"ns1.turkcell.com.tr.,ns2.turkcell.com.tr."
drc.gov.cn,"ns11.xincache.com.,ns12.xincache.com."
ewe.com,"ans0.ewetel.de.,ans1.ewetel.net.,ans2.ewetel.de.,ans3.ewetel.net."
movistar.es,"dns1.movistar.es.,dns2.movistar.es."
people.com.cn,"ns1.people.cn.,ns2.people.cn.,ns3.people.cn.,ns4.people.cn.,ns5.people.cn."
