Domain,Name Server,Count
comcast.com,"dns101.comcast.net.,dns102.comcast.net.,dns103.comcast.net.,dns104.comcast.net.,dns105.comcast.net.",1
danielselectric.com,"ns1.mediatemple.net.,ns2.mediatemple.net.",56
china-entercom.net,"dns1.cibonet.com.,dns2.cibonet.com.",2
transtelco.net,"ns00.transtelco.net.,ns01.transtelco.net.,ns02.transtelco.net.,ns03.transtelco.net.,ns04.transtelco.net.",1
dream-mark1.co.kr,"ns.dreamline.co.kr.,ns2.dreamline.co.kr.",1
tigo.com.co,"birlocha.une.net.co.,lauta.une.net.co.,nsbog01.une.net.co.",1
tiscali.it,"barakus.tiscali.com.,hannibal.tiscali.com.,murdock.tiscali.com.",1
parspack.com,"ns10.parspack.com.,ns11.parspack.com.,ns12.parspack.com.",2
gd.gov.cn,"ns1.gd.gov.cn.,ns2.gd.gov.cn.",6
bgctv.com.cn,"ns1.alidns.com.,ns2.alidns.com.",3
zastava.net.ua,"nsa1.srv53.org.,nsa2.srv53.com.,nsa3.srv53.net.,nsb1.srv53.com.,nsb3.srv53.net.,nsb4.srv53.org.,nsc3.srv53.net.,nsc4.srv53.com.,nsc4.srv53.org.,nsd1.srv53.com.,nsd2.srv53.net.,nsd2.srv53.org.",1
cnic.cn,"ns3.cstnet.cn.,ns4.cstnet.cn.",6
megacable.com.mx,"a1-223.akam.net.,a11-64.akam.net.,a16-65.akam.net.,a26-65.akam.net.,a4-64.akam.net.,a9-65.akam.net.",1
vodafone.com.tr,"ns1.vodafone.com.tr.,ns2.vodafone.com.tr.,ns3.vodafone.com.tr.",1
atrinnet.net,"ns5.padidar.net.,ns6.padidar.net.",1
netvigator.com,"ns4.netvigator.com.,ns5.netvigator.com.",5
cat.net.th,"ds.cat.net.th.,myna.cat.net.th.,teal.cat.net.th.",4
telepermit.co.nz,"ns1.outwide.cloud.,ns2.outwide.cloud.,ns3.outwide.cloud.,ns4.outwide.cloud.",1
itglobal.com,"ns01.itglobal.com.,ns02.itglobal.com.,ns03.itglobal.com.,ns04.itglobal.com.",1
windstream.com,"adelaide.ns.cloudflare.com.,viddy.ns.cloudflare.com.",1
alphavps.com,"anna.ns.cloudflare.com.,kip.ns.cloudflare.com.",1
biznetnetworks.com,"jktns1.biz.net.id.,jktns2.biz.net.id.,ns3.biz.net.id.,ns4.biz.net.id.",1
fly.io,"ns1.fly.io.,ns2.fly.io.,ns3.fly.io.,ns4.fly.io.,ns5.fly.io.,ns6.fly.io.",4
emirates.net.ae,"ns1.etisalatdomains.ae.,ns2.etisalatdomains.ae.,ns3.etisalatdomains.ae.,ns4.etisalatdomains.ae.",1
tci.ir,ns1.tci.ir.,4
telmex.com,"ns10.telmex.com.,ns11.telmex.com.,ns8.telmex.com.,ns9.telmex.com.",4
online.com.kh,"dns1.online.com.kh.,dns2.online.com.kh.,dns3.online.com.kh.,dns4.online.com.kh.,dns5.online.com.kh.",1
verizonbusiness.com,"auth-ns1.verizonbusiness.com.,auth-ns2.verizonbusiness.com.,auth01.ns.uu.net.,auth200.ns.uu.net.,auth210.ns.uu.net.,auth50.ns.uu.net.,auth61.ns.uu.net.",1
nutanix.com,"ns-109.awsdns-13.com.,ns-1511.awsdns-60.org.,ns-1902.awsdns-45.co.uk.,ns-742.awsdns-28.net.",1
amazon.com,"ns1.amzndns.co.uk.,ns1.amzndns.com.,ns1.amzndns.net.,ns1.amzndns.org.,ns2.amzndns.co.uk.,ns2.amzndns.com.,ns2.amzndns.net.,ns2.amzndns.org.",10
linzag-telekom.at,"a0.ns.lagis.at.,a1.ns.lagis.at.,a2.ns.lagis.at.,a3.ns.lagis.at.",1
bredband2.com,"lee.ns.cloudflare.com.,olga.ns.cloudflare.com.",2
parsvds.net,"chloe.ns.cloudflare.com.,chris.ns.cloudflare.com.",1
omc.co.il,"ns.omc.co.il.,ns1.omc.co.il.,ns2.omc.co.il.",1
cdn77.com,"ns1.cdn77.com.,ns2.cdn77.com.",1
hetzner.de,"ns.second-ns.com.,ns1.your-server.de.,ns3.second-ns.de.",2
netactuate.com,"brad.ns.cloudflare.com.,nora.ns.cloudflare.com.",1
hinet.net,"ans1.hinet.net.,ans2.hinet.net.,ans3.hinet.tw.",1
hkbn.net,"a1-138.akam.net.,a11-66.akam.net.,a2-66.akam.net.,a24-67.akam.net.,a26-64.akam.net.,a5-66.akam.net.",1
bt.com,"DYDNS0.bt.com.,DYDNS1.bt.com.,EDDNS0.bt.com.,EDDNS1.bt.com.",2
algerietelecom.dz,"dns-1.djaweb.dz.,dns-2.djaweb.dz.,dns-3.djaweb.dz.,dns-4.djaweb.dz.,dns-5.djaweb.dz.,dns-6.djaweb.dz.",1
globe.com.ph,"dns1.globenet.com.ph.,g-net.globe.com.ph.,g-net1.globe.com.ph.,sec.globe.com.ph.",1
brilliantel.co.za,brilliantel.esvacloud.com.,1
eth-services.de,"cinco.eth-services.de.,cuatro.eth-services.de.,dos.eth-services.de.,tres.eth-services.de.,uno.eth-services.de.",1
ucloud.cn,"ns3.dnsv5.com.,ns4.dnsv5.com.",1
startelecom.ca,"ns-1411.awsdns-48.org.,ns-142.awsdns-17.com.,ns-1865.awsdns-41.co.uk.,ns-865.awsdns-44.net.",1
bahnhof.se,"ns.bahnhof.net.,ns2.bahnhof.net.",1
sbu.ac.ir,"ns1.sbu.ac.ir.,ns2.sbu.ac.ir.",1
ctm.net,"ns3.macau.ctm.net.,vassun1.macau.ctm.net.,vassun2.macau.ctm.net.",1
respina.net,"ns01.respina.net.,ns02.respina.net.",2
oracle.com,"a1-160.akam.net.,a11-66.akam.net.,a13-65.akam.net.,a18-67.akam.net.,ns1.p201.dns.oraclecloud.net.,ns2.p201.dns.oraclecloud.net.,ns3.p201.dns.oraclecloud.net.,ns4.p201.dns.oraclecloud.net.",1
alestra.com.mx,"dns.alestra.net.mx.,mail1.alestra.net.mx.,mail2.alestra.net.mx.",1
vtal.com,"ns03.vtal.com.br.,ns04.vtal.com.br.",4
egate.net,"auth-iad.dns.egate.net.,ns2.dm.egate.net.",1
biglobe.co.jp,"ns02.mesh.ad.jp.,ns03.mesh.ad.jp.",1
unram.ac.id,"eva.ns.cloudflare.com.,jay.ns.cloudflare.com.",1
gibir.net.tr,"hal.ns.cloudflare.com.,kiki.ns.cloudflare.com.",1
intersat.ae,"pdns03.domaincontrol.com.,pdns04.domaincontrol.com.",1
claro.com.pe,"dns1.amx.com.pe.,dns2.amx.com.pe.",1
voxtelecom.co.za,"ns1.voxdns.co.za.,ns2.voxdns.co.za.",1
hornet.pl,"ns1.hornet.pl.,ns2.hornet.pl.",1
gghnet.com,"cody.ns.cloudflare.com.,kay.ns.cloudflare.com.",1
orange.com,"dns1.comlaude-dns.com.,dns2.comlaude-dns.net.,dns3.comlaude-dns.co.uk.,dns4.comlaude-dns.eu.",1
cira.ca,"a1-229.akam.net.,a10-65.akam.net.,ns1.d-zone.ca.,ns2.d-zone.ca.",1
veesp.com,"fiona.ns.cloudflare.com.,jeremy.ns.cloudflare.com.",1
charter.com,"ns1.charter.com.,ns2.charter.com.,ns3.charter.com.,ns4.charter.com.",1
tda.dz,"ns1.tda.dz.,ns2.tda.dz.",1
nrp.co,"ns1.nrp.co.,ns2.nrp.co.,ns3.nrp.co.",1
lguplus.co.kr,"ns.lguplus.co.kr.,nsdr.lguplus.co.kr.",1
superonline.net,"ns1.turkcell.com.tr.,ns2.turkcell.com.tr.",1
drc.gov.cn,"ns11.xincache.com.,ns12.xincache.com.",1
ewe.com,"ans0.ewetel.de.,ans1.ewetel.net.,ans2.ewetel.de.,ans3.ewetel.net.",1
movistar.es,"dns1.movistar.es.,dns2.movistar.es.",1
people.com.cn,"ns1.people.cn.,ns2.people.cn.,ns3.people.cn.,ns4.people.cn.,ns5.people.cn.",1
