Provider,Count
"RELIANCEJIO-IN,RELIANCEJIO-IN,RELIANCEJIO-IN,RELIANCEJIO-IN,RELIANCEJIO-IN,RELIANCEJIO-IN",1
"187.190.0.0 - 187.190.255.255,187.190.0.0 - 187.190.255.255,187.190.0.0 - 187.190.255.255",1
"I-GATE,Smart-IT",1
"AKAMAI-PI-1,AKAMAI-200703,AKAMAI,AKAMAI-PA,AKAMAI,SHAW-COMM,SHAW-COMM,SHAW-COMM",1
"GOOGLE,GOOGLE,GOOGLE,GOOGLE",1
"BGBALCHIK,BGBALCHIK",1
"Turknet,MSFT,TR-TURKNET-990212",1
"DXTNET,DXTNET",1
"MICROSOFT,123NET-BLK-I123-4,123NET-BLK-I123-7,AT-88-Z",1
"CITYCOM-AT-NET-01,AT-GSTW-20061031",1
"ClouDNS,ClouDNS,ClouDNS",1
"TIGGEE-USNYC-1,TIGGEE-EU-5,TIGGEE-AP,TIGGEE-USNYC-1,TIGGEE-EU-6,TIGGEE-AP",1
"INCAPSULA-NETWORK,INCAPSULA-NETWORK,INCAPSULA-NETWORK",1
The DNS query name does not exist: ccrac6.4cplus.com.,1
"JUMPSTART-4,COMCAST-18,COMCAST-18,COMCAST-18,HTTP lookup failed for http://rdap.arin.net/registry/ip/68.87.72.244.",1
,1
"OVH,OVH,OVH,OVH",1
"datacenter,datacenter,TTNET,TTNET",1
"CLOUDFLARENET,CLOUDFLARENET,CLOUDFLARENET,CLOUDFLARENET",1
"Sifyinfranet,Sifyinfranet",1
"GOOGLE,GOOGLE,GOOGLE,GOOGLE",1
,1
"TR-ISNET-20070129,ISNET,CAMIS",1
"AKAMAI-PI-1,AKAMAI-PA,AKAMAI-PA,AKAMAI-PA,AKAMAI-200703,AKAMAI-PA",1
"AVANT-NET,AVANT-NET",1
"CLOUDFLARENET,CLOUDFLARENET",1
"SHYAMSPECTRA-IN,SHYAMSPECTRA-IN",1
"EUNET-DE,UUNET-DE-VIRTUAL-NS",1
"headofficenetwork-net,headofficenetwork-net,headofficenetwork-net,headofficenetwork-net,headofficenetwork-net,headofficenetwork-net,headofficenetwork-net",1
"CLOUDFLARENET,CLOUDFLARENET",1
"MSFT,MSFT,MSFT,MSFT",1
"IR-WEBGOSTARAN5-20191125,IR-WEBGOSTARAN5-20191125",1
"NETBLK-NW-TEL-1,NWST-11",1
"SMILESERV-KR,SMILESERV-KR,SMILESERV-KR,SMILESERV-KR",1
"TimeWeb-7,TimeWeb-3,RETN-RU,RU-RETNNET-SPB",1
"TELESERVICE-SE,TELESERVICE-SE",1
"CLOUDFLARENET,CLOUDFLARENET",1
"Swisscom-ITS,Swisscom-ITS,CH-SWISSCOM-ITS-193-222",1
"ALISOFT,ALISOFT",1
"CHINANET-BB,CHINANET-BB",1
"CLOUDFLARENET,CLOUDFLARENET",1
"CLOUDFLARENET,CLOUDFLARENET",1
"GLESYS,GLESYS,GLESYS",1
"Liquid-London,Liquid-London",1
"ORG-DD1-AFRINIC,RACKS-8-NET-4",1
"IR-PIROOZONLINE-DEDICATED_USERS-2022,IR-PIROOZONLINE-DEDICATED_USERS-2022",1
"IPTRIPLEPLAY,IPTRIPLEPLAY",1
"MWVOLNETWORK2,VOLNYCZECHNETWORK",1
"AMAZON-EC2,AMAZON-BYOIP,AMAZON-BYOIP,AMAZON-BYOIP",1
"AKAMAI-PI-1,AKAMAI-PA,AKAMAI-PA,AKAMAI-PA,TZODNS-1,TZODNS-1,TZODNS-1,TZODNS-1",1
"IR-FIDC-20070828,IR-FIDC-20070828",1
"AZPL,AZPL,AZPL",1
"INFRA-AW-BIAB,RID-0000020483",1
"186.1.161.0 - 186.1.161.127,186.1.160.0 - 186.1.160.127",1
"CLOUDFLARENET,CLOUDFLARENET",1
