Domain,Name Server,Count
piroozonline.net,"ns4.piroozonline.net.,ns5.piroozonline.net.",1
vodacom.com,"ns01.socialcode.biz.,ns02.socialcode.biz.,ns1.vodacombusiness.co.za.,ns2.vodacombusiness.co.za.",1
liquidtelecom.com,"ns1.liquidtelecom.net.,ns2.liquidtelecom.net.",1
excitel.com,"alla.ns.cloudflare.com.,will.ns.cloudflare.com.",9
glesys.com,"ns1.namesystem.se.,ns2.namesystem.se.,ns3.namesystem.se.",1
balchik.net,"ns1.balchik.net.,ns2.balchik.net.",1
md6.fr,"may.ns.cloudflare.com.,vick.ns.cloudflare.com.",1
colohouse.com,"dora.ns.cloudflare.com.,walt.ns.cloudflare.com.",1
sbu.ac.ir,"ns1.sbu.ac.ir.,ns2.sbu.ac.ir.",4
shahrad.net,"ns1.mydns01.com.,ns2.mydns01.com.",4
symphony.net.th,"cello.violin.co.th.,viola.violin.co.th.",2
pishgaman.net,"ns1.pishgaman.net.,ns2.pishgaman.net.",5
189.cn,"ns1.chinanet.cn.,ns2.chinanet.cn.",1
bgctv.com.cn,"ns1.alidns.com.,ns2.alidns.com.",1
cnic.cn,"ns3.cstnet.cn.,ns4.cstnet.cn.",5
swisscom.ch,"dns1.swisscom.com.,dns2.swisscom.com.,dns3.swisscom.com.",1
nn.gx.cn,"ns.lzptt.gx.cn.,ns.nn.gx.cn.",18
huaweicloud.com,"ns1.huaweicloud-dns.cn.,ns1.huaweicloud-dns.com.,ns1.huaweicloud-dns.net.,ns1.huaweicloud-dns.org.",5
kamatera.com,"max.ns.cloudflare.com.,zoe.ns.cloudflare.com.",1
teleservice.net,"ns1.teleservice.net.,ns2.teleservice.net.",1
timeweb.ru,"ns1.timeweb.ru.,ns2.timeweb.ru.,ns3.timeweb.org.,ns4.timeweb.org.",1
avabarid.com,"ns01.avabarid.com.,ns02.avabarid.com.",5
smileserv.com,"ns1.kr.,ns2.kr.,ns8.kr.,ns9.kr.",1
ground.ir,"ns1.dimit.host.,ns2.dimit.host.",1
plateautel.com,"ns1.plateautel.net.,ns2.plateautel.net.",2
turk.net,"ns.turk.net.,ns.turknet.io.,ns.turknet.net.tr.",1
scn.com.cn,"dns1.cableplus.com.cn.,dns2.cableplus.com.cn.,dns3.cableplus.com.cn.,dns4.cableplus.com.cn.,dns5.cableplus.com.cn.,dns6.cableplus.com.cn.",1
webpass.net,"ns-cloud-d1.googledomains.com.,ns-cloud-d2.googledomains.com.,ns-cloud-d3.googledomains.com.,ns-cloud-d4.googledomains.com.",1
tele2.se,"pitea.dns.swip.net.,sunic.sunet.se.,ystad.dns.swip.net.",1
att.com,"a1-187.akam.net.,a11-65.akam.net.,a2-64.akam.net.,a22-67.akam.net.,a4-64.akam.net.,a5-66.akam.net.",1
ntt.com,"ns-os001.ocn.ad.jp.,pns.ocn.ad.jp.",5
netactuate.com,"brad.ns.cloudflare.com.,nora.ns.cloudflare.com.",1
cwpanama.net,"ns.cwpanama.net.,ns3.cwpanama.net.",1
netvigator.com,"ns4.netvigator.com.,ns5.netvigator.com.",4
talktalkplc.com,"ds0.opaltelecom.net.,ds1.opaltelecom.net.,ds2.opaltelecom.net.",1
tatatelebusiness.com,"ns-1250.awsdns-28.org.,ns-1772.awsdns-29.co.uk.,ns-184.awsdns-23.com.,ns-925.awsdns-51.net.",2
mggsnet.com,"ns1.NODE3.ParmisWeb.Net.,ns2.NODE3.ParmisWeb.Net.",1
rasana.net,"ns1.rasana.net.,ns2.rasana.net.",1
nova.gr,"nsath.forthnet.gr.,nsher.forthnet.gr.,nsthe.forthnet.gr.,teiresias.forthnet.gr.",1
sky.com,"edns1.ultradns.biz.,edns1.ultradns.com.,edns1.ultradns.net.,edns1.ultradns.org.,ns0.isp.sky.com.,ns1.isp.sky.com.",1
herotel.com,"jim.ns.cloudflare.com.,val.ns.cloudflare.com.",1
entel.cl,"ns-1484.awsdns-57.org.,ns-1562.awsdns-03.co.uk.,ns-463.awsdns-57.com.,ns-678.awsdns-20.net.",1
shaw.ca,"a1-220.akam.net.,a3-64.akam.net.,a6-65.akam.net.,a8-66.akam.net.,a9-67.akam.net.,ns7nocg.shawcable.net.,ns8socg.shawcable.net.,ns9htok.shawcable.net.",1
pldt.com,"iserv01.pldt.com.ph.,iserv02.pldt.com.ph.",1
totalplay.com.mx,"ns3.totalplay.com.mx.,ns4.totalplay.com.mx.,ns5.totalplay.com.mx.",1
jio.com,"ns1.jio.com.,ns2.jio.com.,ns3.jio.com.,ns4.jio.com.,ns5.jio.com.,ns6.jio.com.",1
afranet.com,"ns.afranet.com.,ns1.afranet.com.,ns2.afranet.com.,ns3.afranet.com.,ns4.afranet.com.",1
appliwave.com,"ns-1-b.gandi.net.,ns-33-c.gandi.net.,ns-41-a.gandi.net.",1
odido.nl,"ns1.openprovider.nl.,ns2.openprovider.be.,ns3.openprovider.eu.",1
softbank.jp,"dns03.bbtec.net.,dns04.bbtec.net.,dns06.bbtec.net.",1
digitalocean.com,"kim.ns.cloudflare.com.,walt.ns.cloudflare.com.",1
altafocus.id,"ns01.cloudhost.id.,ns02.cloudhost.id.",1
