Domain,Name Server,Provider,Count
comcast.com,"dns101.comcast.net.,dns102.comcast.net.,dns103.comcast.net.,dns104.comcast.net.,dns105.comcast.net.","JUMPSTART-4,COMCAST-18,COMCAST-18,COMCAST-18,HTTP lookup failed for http://rdap.arin.net/registry/ip/68.87.72.244.",1
laser.ir,"ns1.laser.ir.,ns2.laser.ir.","IR-LASERCO-20140814,IR-LASERCO-20140814",2
china-entercom.net,"dns1.cibonet.com.,dns2.cibonet.com.","CHINAENTERCOM,CHINAENTERCOM",2
ct1000.com,"dns1.hichina.com.,dns2.hichina.com.","ALISOFT,ALISOFT",2
tci.ir,ns1.tci.ir.,IR-DCC-20101018,4
mpsedc.com,ccrac6.4cplus.com.,The DNS query name does not exist: ccrac6.4cplus.com.,1
discoverflow.co,"ns1.a0.impervasecuredns.net.,ns1.a1.impervasecuredns.net.,ns1.a2.impervasecuredns.net.","INCAPSULA-NETWORK,INCAPSULA-NETWORK,INCAPSULA-NETWORK",1
avantel.ru,"ns.avantel.ru.,ns2.avantel.ru.","AVANTEL,AVANTEL",2
asiatech.ir,"ns1.asiatech.ir.,ns2.asiatech.ir.","IR-ASIATECH-NET,IR-ASIATECH-NET",2
fly.io,"ns1.fly.io.,ns2.fly.io.,ns3.fly.io.,ns4.fly.io.,ns5.fly.io.,ns6.fly.io.","TIGGEE-USNYC-1,TIGGEE-EU-5,TIGGEE-AP,TIGGEE-USNYC-1,TIGGEE-EU-6,TIGGEE-AP",1
shatel.ir,"ns1.shatel.ir.,ns2.shatel.ir.","SHTL-NET-INFRA,SHTL-DSL-THR",2
parspack.com,"ns10.parspack.com.,ns11.parspack.com.,ns12.parspack.com.","ClouDNS,ClouDNS,ClouDNS",1
citycom-austria.com,"ns1.grazkom.at.,ns2.grazkom.at.","CITYCOM-AT-NET-01,AT-GSTW-20061031",1
123.net,"ns1.123net.us.,ns2.distance.net.,ns3.distance.net.,ns4.123net.us.","MICROSOFT,123NET-BLK-I123-4,123NET-BLK-I123-7,AT-88-Z",1
jastel.co.th,"elinore.ns.cloudflare.com.,paul.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
lmt.lv,"gsm2.lmt.lv.,lte4.lmt.lv.,ns2.online.lv.","LMT,LV-LMT-20080326,APOLLO-LATTELECOM-SERVICES",5
conac.cn,"ns1.sdc.org.cn.,ns2.sdc.org.cn.,ns3.sdc.org.cn.","AP-CONAC-CN,AP-CONAC-CN,AP-CONAC-CN",6
cei.gov.cn,"ns1.cei.cn.,ns2.cei.cn.","DXTNET,DXTNET",1
microsoft.com,"ns1-39.azure-dns.com.,ns2-39.azure-dns.net.,ns3-39.azure-dns.org.,ns4-39.azure-dns.info.","MSFT,MSFT,MSFT,MSFT",1
nwtel.ca,"squanga.northwestel.net.,trout.northwestel.net.","NETBLK-NW-TEL-1,NWST-11",1
dialnet.net,"perla.dialnet.net.,samaria.dialnet.net.","186.1.161.0 - 186.1.161.127,186.1.160.0 - 186.1.160.127",1
bahnhof.se,"ns.bahnhof.net.,ns2.bahnhof.net.","INFRA-AW-BIAB,RID-0000020483",1
inter-plus.eu,"ns10.az.pl.,ns11.az.pl.,ns12.az.pl.","AZPL,AZPL,AZPL",1
fanavaidc.com,"ns1.fanavaidc.com.,ns2.fanavaidc.com.","IR-FIDC-20070828,IR-FIDC-20070828",1
oracle.com,"a1-160.akam.net.,a11-66.akam.net.,a13-65.akam.net.,a18-67.akam.net.,ns1.p201.dns.oraclecloud.net.,ns2.p201.dns.oraclecloud.net.,ns3.p201.dns.oraclecloud.net.,ns4.p201.dns.oraclecloud.net.","AKAMAI-PI-1,AKAMAI-PA,AKAMAI-PA,AKAMAI-PA,TZODNS-1,TZODNS-1,TZODNS-1,TZODNS-1",1
dr.com.tr,"ns-1092.awsdns-08.org.,ns-1985.awsdns-56.co.uk.,ns-244.awsdns-30.com.,ns-694.awsdns-22.net.","AMAZON-EC2,AMAZON-BYOIP,AMAZON-BYOIP,AMAZON-BYOIP",1
quantcom.cz,"names.dialtelecom.cz.,sns.dialtelecom.cz.","MWVOLNETWORK2,VOLNYCZECHNETWORK",1
iptp.com,"ns1.iptp.net.,ns2.iptp.net.","IPTRIPLEPLAY,IPTRIPLEPLAY",1
piroozonline.net,"ns4.piroozonline.net.,ns5.piroozonline.net.","IR-PIROOZONLINE-DEDICATED_USERS-2022,IR-PIROOZONLINE-DEDICATED_USERS-2022",1
vodacom.com,"ns01.socialcode.biz.,ns02.socialcode.biz.,ns1.vodacombusiness.co.za.,ns2.vodacombusiness.co.za.","ORG-DD1-AFRINIC,RACKS-8-NET-4",1
liquidtelecom.com,"ns1.liquidtelecom.net.,ns2.liquidtelecom.net.","Liquid-London,Liquid-London",1
excitel.com,"alla.ns.cloudflare.com.,will.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",9
glesys.com,"ns1.namesystem.se.,ns2.namesystem.se.,ns3.namesystem.se.","GLESYS,GLESYS,GLESYS",1
balchik.net,"ns1.balchik.net.,ns2.balchik.net.","BGBALCHIK,BGBALCHIK",1
md6.fr,"may.ns.cloudflare.com.,vick.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
colohouse.com,"dora.ns.cloudflare.com.,walt.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
sbu.ac.ir,"ns1.sbu.ac.ir.,ns2.sbu.ac.ir.","SBUN,SBUN",4
shahrad.net,"ns1.mydns01.com.,ns2.mydns01.com.","Sefroyek-B2B,IR-ASIATECH-DC",4
symphony.net.th,"cello.violin.co.th.,viola.violin.co.th.","SYMPHONY-INTERNET,SYMPHONY-INTERNET",2
pishgaman.net,"ns1.pishgaman.net.,ns2.pishgaman.net.","IR-PTE-TEHRAN-20120829,IR-PTE-TEHRAN-20120829",5
189.cn,"ns1.chinanet.cn.,ns2.chinanet.cn.","CHINANET-BB,CHINANET-BB",1
bgctv.com.cn,"ns1.alidns.com.,ns2.alidns.com.","ALISOFT,ALISOFT",1
cnic.cn,"ns3.cstnet.cn.,ns4.cstnet.cn.","CSTNET-CN,CSTNET-CN",5
